sts,src,dest,seqn
1291090610,10,10,41
1307700505,3,1,42
1307941996,9,8,42
1315738718,10,8,42
1316262241,6,3,42
1317303517,7,6,42
1318352882,8,2,42
1318500496,1,7,42
1318894496,2,7,42
1319113493,4,5,42
1320264582,5,8,42
1335927298,9,4,43
1337249884,5,9,43
1337934116,6,6,43
1338910370,4,8,43
1340514780,7,9,43
1343973094,10,10,43
1344212254,8,4,43
1347469262,1,1,43
1348747379,3,5,43
1349191371,2,8,43
1366526980,2,8,44
1371669253,3,7,44
1372285747,9,6,44
1374457227,6,2,44
1374546029,7,1,44
1375582468,10,2,44
1376446630,8,6,44
1379495977,4,8,44
1379766120,1,1,44
1380178972,5,3,44
1396020122,9,2,45
1398105355,4,5,45
1399225846,5,4,45
1399442529,6,9,45
1403056006,8,10,45
1403466129,3,5,45
1404568046,10,5,45
1405938014,1,5,45
1409636355,2,5,45
1409944141,7,3,45
1425847870,4,1,46
1427984868,1,7,46
1427996856,10,9,46
1428129496,9,6,46
1432041309,8,10,46
1433347618,2,1,46
1434061655,7,5,46
1435795835,5,10,46
1437138003,3,7,46
1440371616,6,3,46
1456030207,5,8,47
1460906764,1,1,47
1462019745,4,9,47
1463085694,7,10,47
1463399755,8,7,47
1463684881,3,10,47
1464293886,9,4,47
1468769493,2,8,47
1470418492,6,9,47
1471043733,10,6,47
1488332989,3,4,48
1489167606,2,8,48
1490254341,10,8,48
1491017270,8,7,48
1491137242,6,3,48
1491983333,5,4,48
1495703621,1,3,48
1499066619,4,3,48
1499975390,7,2,48
1500316998,9,10,48
1516988494,4,2,49
1517717706,5,4,49
1521375514,1,5,49
1521901982,2,3,49
1522809116,6,9,49
1523309510,9,4,49
1523960691,7,8,49
1524192364,3,8,49
1527113717,10,3,49
1529939145,8,5,49
1545636607,4,2,50
1545922368,1,1,50
1546036116,3,6,50
1548053517,7,6,50
1549014585,5,8,50
1550660747,9,2,50
1555206995,2,3,50
1556981234,10,9,50
1557246616,6,3,50
1560736021,8,3,50
1576395123,9,6,51
1578403110,10,9,51
1580021416,3,8,51
1580162892,7,9,51
1580999885,5,7,51
1581003872,2,1,51
1583293492,6,3,51
1585344265,1,1,51
1586870980,4,3,51
1589407894,8,3,51
1606699983,10,7,52
1609160120,2,5,52
1610379867,3,2,52
1610641120,1,5,52
1610684115,6,3,52
1612425996,4,3,52
1614874154,7,7,52
1614928973,5,3,52
1615504495,9,2,52
1615954769,8,9,52
1635722868,4,6,53
1638975847,5,2,53
1639871857,10,8,53
1640192531,6,1,53
1645813013,1,1,53
1647081996,2,6,53
1647376646,8,2,53
1647988873,9,8,53
1648296031,7,5,53
1650114240,3,3,53
1666090369,6,1,54
1667558479,4,2,54
1672629344,10,4,54
1672859869,1,1,54
1673811657,7,1,54
1674686461,5,10,54
1674856755,3,9,54
1676691999,9,2,54
1679730108,2,10,54
1679774756,8,4,54
1696488720,10,3,55
1698874154,7,8,55
1699153631,3,1,55
1699667854,4,8,55
1701545833,5,9,55
1701781766,1,5,55
1703677301,9,10,55
1703964481,2,1,55
1704587257,8,6,55
1706887243,6,1,55
1726325504,3,5,56
1728527867,6,3,56
1729632098,5,7,56
1733152229,4,8,56
1734519496,2,9,56
1734929816,1,10,56
1735278109,10,7,56
1735618507,8,6,56
1737035747,9,8,56
1737881640,7,6,56
1757574984,10,7,57
1758102883,8,6,57
1758770122,9,2,57
1759803974,5,6,57
1760824743,6,1,57
1764116015,7,2,57
1764372379,3,7,57
1765816369,2,6,57
1766164208,1,8,57
1769011606,4,5,57
1785879498,9,6,58
1787577085,5,6,58
1791043492,6,5,58
1791294255,3,7,58
1793651984,2,10,58
1795773565,1,8,58
1795879119,4,3,58
1798746859,10,3,58
1798962255,8,2,58
1799803517,7,2,58
