rts,src,dest,seqn,hops
1470805784,6,9,47,4
1471198611,10,6,47,2
1488595809,3,4,48,5
1489670921,2,8,48,5
1490420445,10,8,48,2
1491090578,8,7,48,3
1491401166,6,3,48,3
1492094250,5,4,48,3
1496027265,1,3,48,3
1499400985,4,3,48,4
1500063487,7,2,48,1
1500447872,9,10,48,1
1517187793,4,2,49,2
1517845570,5,4,49,3
1521504149,1,5,49,1
1522274899,2,3,49,4
1523182142,6,9,49,4
1523594210,9,4,49,5
1524295267,7,8,49,3
1524546210,3,8,49,1
1527151613,10,3,49,1
1530128580,8,5,49,4
1545814627,4,2,50,2
1545925246,1,1,50,0
1546197400,3,6,50,3
1548069945,7,6,50,1
1549546628,5,8,50,5
1550812919,9,2,50,3
1555525050,2,3,50,4
1557057479,10,9,50,1
1557526667,6,3,50,3
1560776689,8,3,50,1
1576573076,9,6,51,3
1578431610,10,9,51,1
1580045006,3,8,51,1
1580307754,7,9,51,2
1581090109,5,7,51,1
1581262458,2,1,51,1
1583526049,6,3,51,3
1585347143,1,1,51,0
1587150986,4,3,51,4
1589527004,8,3,51,1
1606840644,10,7,52,1
1609255092,2,5,52,1
1610562854,3,2,52,3
1610755537,1,5,52,1
1611524966,6,3,52,3
1612650986,4,3,52,4
1614877032,7,7,52,0
1615275752,5,3,52,4
1615689369,9,2,52,3
1616057189,8,9,52,1
1635822793,4,6,53,1
1639064013,5,2,53,1
1639921556,10,8,53,2
1640264155,6,1,53,1
1645815891,1,1,53,0
1647196285,2,6,53,1
1647564012,8,2,53,4
1648046000,9,8,53,1
1648379520,7,5,53,1
1650117117,3,3,53,0
1666138074,6,1,54,1
1667815134,4,2,54,2
1672844293,10,4,54,4
1672862747,1,1,54,0
1673887897,7,1,54,1
1675825526,5,10,54,3
1675931933,3,9,54,1
1676938792,9,2,54,3
1680947157,2,10,54,3
1696526768,10,3,55,1
1699047222,7,8,55,3
1699262543,3,1,55,3
1700045269,4,8,55,6
1702379210,1,5,55,1
1702432167,5,9,55,4
1703698695,9,10,55,1
1704014527,2,1,55,1
1704821690,8,6,55,4
1707013777,6,1,55,1
1726503555,3,5,56,3
1728774901,6,3,56,3
1729715780,5,7,56,1
1733545327,4,8,56,6
1734933232,2,9,56,4
1735072202,1,10,56,2
1735340132,10,7,56,1
1735822162,8,6,56,4
1737171555,9,8,56,1
1737948054,7,6,56,1
1757713327,10,7,57,1
1758323244,8,6,57,4
1758938438,9,2,57,3
1759947379,5,6,57,2
1760889241,6,1,57,1
1764190010,7,2,57,1
1764464835,3,7,57,2
1765945127,2,6,57,1
1766421149,1,8,57,4
1769253581,4,5,57,3
1786071915,9,6,58,3
1787696175,5,6,58,2
1791255296,6,5,58,2
1791339205,3,7,58,2
1793946582,2,10,58,3
1797047160,1,8,58,4
1798775459,10,3,58,1
1799189542,8,2,58,4
1799939309,7,2,58,1
