sts,src,dest,seqn
1429928000.0,9,9,46
1436081000.0,2,3,46
1438519000.0,8,2,46
1439664000.0,1,1,46
1440728000.0,3,9,46
1440755000.0,5,8,46
1457064000.0,6,7,47
1457778000.0,5,8,47
1458600000.0,9,7,47
1458753000.0,8,4,47
1462775000.0,3,8,47
1464957000.0,10,6,47
1465561000.0,4,4,47
1465836000.0,1,5,47
1466753000.0,2,9,47
1469590000.0,7,4,47
1487084000.0,9,9,48
1487883000.0,1,7,48
1488833000.0,5,6,48
1490845000.0,3,6,48
1494653000.0,4,8,48
1494706000.0,8,4,48
1495254000.0,7,10,48
1498158000.0,10,2,48
1498721000.0,2,7,48
1499783000.0,6,9,48
1516006000.0,9,9,49
1516942000.0,5,4,49
1518079000.0,3,10,49
1518598000.0,7,6,49
1520644000.0,10,8,49
1521274000.0,1,5,49
1525263000.0,4,4,49
1526440000.0,8,10,49
1529018000.0,2,10,49
1529955000.0,6,5,49
1545821000.0,1,1,50
1549431000.0,3,10,50
1550389000.0,9,10,50
1550923000.0,6,9,50
1551441000.0,7,6,50
1556286000.0,5,10,50
1556948000.0,2,2,50
1557248000.0,4,8,50
1558035000.0,8,2,50
1559737000.0,10,9,50
1576520000.0,5,8,51
1577807000.0,2,10,51
1584362000.0,3,8,51
1585128000.0,8,6,51
1585242000.0,1,1,51
1585341000.0,4,4,51
1586571000.0,6,10,51
1588089000.0,10,3,51
1588427000.0,7,8,51
1590076000.0,9,8,51
1608651000.0,2,4,52
1610539000.0,1,5,52
1611454000.0,3,2,52
1611936000.0,4,4,52
1612473000.0,5,4,52
1613723000.0,8,6,52
1615415000.0,6,8,52
1617519000.0,7,6,52
1618307000.0,10,5,52
1620529000.0,9,8,52
1636636000.0,2,10,53
1638208000.0,5,6,53
1640629000.0,7,7,53
1645711000.0,1,1,53
1647229000.0,10,10,53
1647794000.0,4,4,53
1648081000.0,8,2,53
1649064000.0,3,2,53
1650401000.0,6,6,53
1650764000.0,9,10,53
1665925000.0,8,10,54
1666493000.0,6,10,54
1667802000.0,5,8,54
1668112000.0,10,6,54
1668142000.0,3,6,54
1669838000.0,2,8,54
1671358000.0,9,4,54
1672758000.0,1,1,54
1673638000.0,4,4,54
1673793000.0,7,1,54
1695410000.0,8,2,55
1696323000.0,2,3,55
1700340000.0,7,10,55
1701603000.0,6,10,55
1701681000.0,1,5,55
1702661000.0,5,9,55
1703623000.0,4,6,55
1703737000.0,3,4,55
1707717000.0,9,10,55
1710721000.0,10,2,55
1727503000.0,8,5,56
1728950000.0,5,3,56
1729049000.0,2,1,56
1730946000.0,6,6,56
1732716000.0,4,6,56
1734828000.0,1,10,56
1737829000.0,3,9,56
1738799000.0,10,2,56
1740046000.0,9,10,56
1740160000.0,7,10,56
1761181000.0,6,8,57
1761825000.0,4,4,57
1762894000.0,7,3,57
1765855000.0,8,3,57
1766062000.0,1,8,57
1766353000.0,3,8,57
1766471000.0,2,1,57
1767139000.0,9,6,57
1767247000.0,5,3,57
1767394000.0,10,7,57
1790204000.0,3,10,58
1790215000.0,7,7,58
1790940000.0,2,9,58
1794134000.0,6,2,58
1795672000.0,1,8,58
1796169000.0,4,10,58
1796542000.0,10,1,58
1797074000.0,8,5,58
1799733000.0,9,6,58
1800388000.0,5,5,58
1818185000.0,5,9,59
1818814000.0,3,8,59
1818987000.0,2,1,59
1822868000.0,6,8,59
1823839000.0,10,7,59
1824092000.0,9,4,59
1825657000.0,1,2,59
1826637000.0,7,8,59
1828404000.0,4,4,59
1829995000.0,8,3,59
1845979000.0,10,7,60
1846403000.0,5,5,60
1848269000.0,7,6,60
1849706000.0,2,7,60
1850015000.0,1,6,60
1850463000.0,6,10,60
1854011000.0,8,7,60
1856345000.0,3,6,60
1857998000.0,4,6,60
1858123000.0,9,2,60
